Company Na,Address,City,State,ZIP Code,Record Typ,Longitude,Latitude,Primary NA,Primary__1,Snap
Adams Market,365 Adams St,Dorchester,MA,2122,,-71.05666,42.29699,,Convenience Stores,Yes
Family Market,334 E 8th St,Boston,MA,2127,,-71.047679,42.331288,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Santo Domingo Market,371 Centre St,Jamaica Plain,MA,2130,,-71.10878,42.322339,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Plensa African Market,373 Blue Hill Ave,Dorchester,MA,2121,,-71.080934,42.311727,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Geneva Grocery,385 Geneva Ave,Dorchester,MA,2122,,-71.068218,42.301271,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Vange Variety,434 Blue Hill Ave,Dorchester,MA,2121,,-71.082048,42.309905,,Convenience Stores,Yes
Quick Mart,353 Chelsea St,Boston,MA,2128,,-71.028734,42.378276,,Convenience Stores,Yes
KOOL Stop Convenience,487 Washington St,Dorchester Ctr,MA,2124,,-71.072048,42.294632,,Convenience Stores,Yes
Luis Market,517 Warren St,Dorchester,MA,2121,,-71.08372,42.313587,,Convenience Stores,Yes
7-Eleven,1 1st Ave,Charlestown,MA,2129,,-71.057819,42.372909,,Convenience Stores,Yes
7-Eleven,8 Park Plz # 6,Boston,MA,2116,,-71.069139,42.351517,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
7-Eleven,425 Brookline Ave,Boston,MA,2215,,-71.10797,42.338338,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
7-Eleven,121 Harvard Ave,Allston,MA,2134,,-71.132192,42.352417,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
7-Eleven,1710 Centre St,West Roxbury,MA,2132,,-71.148914,42.286986,,Convenience Stores,Yes
7-Eleven,1436 Centre St # 38,Roslindale,MA,2131,,-71.137177,42.293354,,Convenience Stores,Yes
7-Eleven,451 Centre St,Jamaica Plain,MA,2130,,-71.111467,42.32034,,Convenience Stores,Yes
7-Eleven,730 William T Morrissey Blvd,Dorchester,MA,2122,,-71.047776,42.296438,,Convenience Stores,Yes
7-Eleven,584 Washington St,Brighton,MA,2135,,-71.165671,42.350019,,Convenience Stores,Yes
7-Eleven,2002 Beacon St,Brighton,MA,2135,,-71.150916,42.336383,,Convenience Stores,Yes
7-Eleven,91 Causeway St # 99,Boston,MA,2114,,-71.062052,42.364834,,Convenience Stores,Yes
7-Eleven,872 Commonwealth Ave,Boston,MA,2215,,-71.114346,42.3508,,Convenience Stores,Yes
7-Eleven,722 Huntington Ave,Boston,MA,2115,,-71.104339,42.334138,,Convenience Stores,Yes
7-Eleven,673 E Broadway # 1,Boston,MA,2127,,-71.037501,42.335447,,Convenience Stores,Yes
7-Eleven,508 Park Dr,Boston,MA,2215,,-71.105811,42.34764,,Convenience Stores,Yes
7-Eleven,50 Summer St,Boston,MA,2110,,-71.059025,42.354672,,Convenience Stores,Yes
7-Eleven,473 W Broadway,Boston,MA,2127,,-71.046079,42.335531,,Convenience Stores,Yes
7-Eleven,464 Hanover St # 17,Boston,MA,2113,,-71.052728,42.367042,,Convenience Stores,Yes
7-Eleven,342 Hanover St,Boston,MA,2113,,-71.053561,42.364947,,Convenience Stores,Yes
7-Eleven,250 Cambridge St # 3,Boston,MA,2114,,-71.067475,42.360888,,Convenience Stores,Yes
7-Eleven,1747 Washington St,Boston,MA,2118,,-71.077008,42.336782,,Convenience Stores,Yes
7-Eleven,1306 Washington St,Boston,MA,2118,,-71.070838,42.340851,,Convenience Stores,Yes
7-Eleven,125 Tremont St,Boston,MA,2108,,-71.061733,42.356403,,Convenience Stores,Yes
7-Eleven,120 Byron St,Boston,MA,2128,,-71.016262,42.383945,,Convenience Stores,Yes
7-Eleven,103 State St,Boston,MA,2109,,-71.055102,42.358962,,Convenience Stores,Yes
7-Eleven,204 N Harvard St,Allston,MA,2134,,-71.129789,42.362799,,Convenience Stores,Yes
7-Eleven,70 E India Row,Boston,MA,2110,,-71.050516,42.358582,,Convenience Stores,Yes
7-Eleven,55 Berkeley St,Boston,MA,2116,,-71.070267,42.346475,,Convenience Stores,Yes
7-Eleven,532 Commonwealth Ave,Boston,MA,2215,,-71.096348,42.348523,,Convenience Stores,Yes
7-Eleven,3 Center Plz # 101a,Boston,MA,2108,,-71.060123,42.359073,,Convenience Stores,Yes
7-Eleven,261 Dartmouth St,Boston,MA,2116,,-71.077631,42.350294,,Convenience Stores,Yes
7-Eleven,252 W Newton St # 1,Boston,MA,2116,,-71.081216,42.344733,,Convenience Stores,Yes
7-Eleven,200 Seaport Blvd # 3,Boston,MA,2210,,-71.040336,42.351773,,Convenience Stores,Yes
7-Eleven,117 Jersey St # 121,Boston,MA,2215,,-71.09701,42.342757,,Convenience Stores,Yes
7-Eleven,10 Milk St,Boston,MA,2108,,-71.057975,42.356883,,Convenience Stores,Yes
7-Eleven,509 Cambridge St,Allston,MA,2134,,-71.138482,42.353432,,Convenience Stores,Yes
7-Eleven,462 Washington St,Brighton,MA,2135,,-71.15896,42.348527,,Convenience Stores,Yes
Rosedale Grocery,547 Washington St,Dorchester Ctr,MA,2124,,-71.071986,42.292575,,Convenience Stores,Yes
Cheema's Supermarket,562 Cambridge St,Allston,MA,2134,,-71.14042,42.352263,,Meat Markets,Yes
Codman Square Market,331 Centre St,Jamaica Plain,MA,2130,,-71.104997,42.322868,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Mass Food Market,603 Massachusetts Ave,Boston,MA,2118,,-71.078145,42.337117,,Convenience Stores,Yes
Baby Nat's Fruitland,606 American Legion Hwy,Roslindale,MA,2131,,-71.109597,42.285741,,Fruit & Vegetable Markets,Yes
Lynch's Everyday,626 Adams St,Dorchester,MA,2122,,-71.055361,42.288368,,Convenience Stores,Yes
Park Ave Market,631 Hyde Park Ave,Roslindale,MA,2131,,-71.119394,42.278848,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Price Rite,892 River St,Hyde Park,MA,2136,,-71.12423,42.255377,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Pisces Fish Market,690 American Legion Hwy # 6,Roslindale,MA,2131,,-71.112033,42.283334,,Fish & Seafood Markets,Yes
Hermanos Unidos,728 Dudley St,Dorchester,MA,2125,,-71.067192,42.317992,,Convenience Stores,Yes
Blue Hill Market,1600 Blue Hill Ave # A,Mattapan,MA,2126,,-71.093606,42.268993,,Fish & Seafood Markets,Yes
Blue Hill Market,766 Blue Hill Ave,Dorchester Ctr,MA,2124,,-71.086693,42.298383,,Convenience Stores,Yes
Lambert's Rainbow Fruit,777 William T Morrissey Blvd,Dorchester,MA,2122,,-71.048527,42.294926,,Fruit & Vegetable Markets,Yes
Super 88 Market,101 Allstate Rd # 101,Dorchester,MA,2125,,-71.062273,42.325651,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Brothers Mini Market,802 Tremont St,Boston,MA,2118,,-71.081337,42.338492,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
New Store On The Block,847 Dorchester Ave,Dorchester,MA,2125,,-71.056861,42.321778,,Convenience Stores,Yes
Fuller Market,851 Washington St,Dorchester Ctr,MA,2124,,-71.071414,42.281885,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Hyde Park Market,853 River St,Hyde Park,MA,2136,,-71.108344,42.262733,,Convenience Stores,Yes
America's Food Basket,217 Bowdoin St,Dorchester,MA,2122,,-71.067734,42.305587,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
America's Food Basket,942 Hyde Park Ave,Hyde Park,MA,2136,,-71.119804,42.267608,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
Dorchester Market,951 Dorchester Ave,Dorchester,MA,2125,,-71.05699,42.318236,,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes
