company_na,address,city,state,zip_code,cartodb_id,longitude,latitude,type,snap,type_size,Underwater_36in,Underwater_7.5ft
7-Eleven,55 Berkeley St,Boston,MA,2116,96,-71.070267,42.346475,Convenience Stores,Yes,2,,1
777 Convenience Store,269 Main St,Charlestown,MA,2129,176,-71.066603,42.377209,Convenience Stores,No,2,,1
Meridian Food Market,121 Meridian St,Boston,MA,2128,797,-71.038774,42.373244,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Convenience Plus,789 Harrison Ave,Boston,MA,2118,61,-71.070838,42.340851,Convenience Stores,Yes,2,,1
Gateway Newsstand,401 Park Dr # 203,Boston,MA,2215,201,-71.103148,42.343754,Convenience Stores,No,2,,1
C Mart 2 Supermarket,109 Lincoln St,Boston,MA,2111,746,-71.058504,42.351628,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Faneuil Hall Market Place,1 Faneuil Hall Sq # 1,Boston,MA,2109,423,-71.055744,42.360041,Fruit & Vegetable Markets,No,5,,1
Red's Best,212 Northern Ave,Boston,MA,2210,432,-71.038265,42.350476,Meat Markets,No,6,,1
Food Pak Express,155 Southampton St,Roxbury,MA,2118,731,-71.06739,42.331174,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Whole Foods Market,348 Harrison Ave,Boston,MA,2118,609,-71.063631,42.34486,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Tedeschi Food Shops,717 Boylston St,Boston,MA,2116,298,-71.080095,42.349651,Convenience Stores,No,2,,1
Cumberland Farms,464 Chelsea St,East Boston,MA,2128,896,-71.032514,42.377292,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Delights Corner,34 Oxford St,Boston,MA,2111,166,-71.060297,42.351547,Convenience Stores,No,2,,1
Lambert's Rainbow Fruit,777 William T Morrissey Blvd,Dorchester,MA,2122,392,-71.048527,42.294926,Fruit & Vegetable Markets,Yes,5,,1
Adam Market,116 Blackstone St,Boston,MA,2109,747,-71.055237,42.359135,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
75 State St Lobby Shop,75 State St,Boston,MA,2109,181,-71.055089,42.358449,Convenience Stores,No,2,,1
Kirin Produce Co,131 Newmarket Sq,Boston,MA,2118,415,-71.066883,42.33052,Fruit & Vegetable Markets,No,5,,1
Allston Farmers' Market,175 N Harvard St,Allston,MA,2134,425,-71.12959,42.363374,Fruit & Vegetable Markets,No,5,,1
Gateway Newstand,1 Faneuil Hall Market Pl,Boston,MA,2109,229,-71.053586,42.359735,Convenience Stores,No,2,,1
Cappy's Store,90 Westland Ave,Boston,MA,2115,281,-71.089765,42.343882,Convenience Stores,No,2,,1
Cvs Corp,25 Holyoke St # 5,Boston,MA,2116,462,-71.077989,42.345026,Pharmacies & Drug Stores,No,3,,1
Hay Market Intl Food Co,88 Blackstone St,Boston,MA,2109,905,-71.056393,42.361435,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
7-Eleven,8 Park Plz # 6,Boston,MA,2116,570,-71.069139,42.351517,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Medina's Market,65 W Dedham St,Boston,MA,2118,536,-71.07302,42.342113,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Star Market,33 Kilmarnock St,Boston,MA,2215,790,-71.100188,42.344209,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
J & W One Lewis Wharf,1 Lewis Wharf,Boston,MA,2110,152,-71.051033,42.363723,Convenience Stores,No,2,,1
Snacks Express,60 South St,Boston,MA,2111,897,-71.056757,42.351724,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Market Place Inc,800 Boylston St,Boston,MA,2199,668,-71.081983,42.348804,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Payless Foods,139 Charles St,Boston,MA,2114,869,-71.070571,42.360205,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Charles St Market,66 Charles St,Boston,MA,2114,671,-71.07045,42.357576,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Karen Market,41 Bennington St,Boston,MA,2128,532,-71.037315,42.375359,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Whole Foods Market,310 Harrison Ave # 348,Boston,MA,2118,610,-71.063308,42.34568,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Quick Mart,353 Chelsea St,Boston,MA,2128,60,-71.028734,42.378276,Convenience Stores,Yes,2,,1
Westland Market,56 Westland Ave,Boston,MA,2115,829,-71.088633,42.34349,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Meat & Fish Market,88 Blackstone St,Boston,MA,2109,780,-71.056393,42.361435,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Lasker's Variety,67 Appleton St,Boston,MA,2116,225,-71.072681,42.345835,Convenience Stores,No,2,,1
Gourmet Foods Of America Inc,Faneuil Hall Marketplace,Boston,MA,2109,22,-71.055237,42.359135,All Other Specialty Food Stores,No,1,,1
City Convenience,541 Commonwealth Ave,Boston,MA,2215,49,-71.097042,42.349216,Convenience Stores,Yes,2,,1
C Mart Of Herald St,50 Herald St,Boston,MA,2118,879,-71.065154,42.346203,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Fortune Market Inc,40 Harrison Ave,Boston,MA,2111,13,-71.060968,42.351664,All Other Specialty Food Stores,No,1,,1
Ispanoamericana Market,153 Meridian St,East Boston,MA,2128,723,-71.039006,42.373929,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
CVS/Pharmacy,155 Charles St,Boston,MA,2114,500,-71.070837,42.360607,Pharmacies & Drug Stores,No,3,,1
Roxbury Mobil,85 Southampton St,Boston,MA,2118,237,-71.070384,42.331916,Convenience Stores,No,2,,1
P & A Convenience Market Inc,469 Columbus Ave,Boston,MA,2116,206,-71.078526,42.343304,Convenience Stores,No,2,,1
Pantry,39 Dalton St,Boston,MA,2199,233,-71.083844,42.346573,Convenience Stores,No,2,,1
CVS/Pharmacy,700 Atlantic Ave,Boston,MA,2111,484,-71.056125,42.351171,Pharmacies & Drug Stores,No,3,,1
Deluca's Back Bay Market,239 Newbury St,Boston,MA,2116,814,-71.081873,42.349781,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Rescor Of Quincy Market Inc,1 Faneuil Hall Market Pl,Boston,MA,2109,936,-71.053586,42.359735,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Legeal Sea Foods,35 Columbus Ave,Boston,MA,2116,371,-71.074581,42.350812,Fish & Seafood Markets,No,4,,1
Larry's Fish Market,26 Porter St,East Boston,MA,2128,348,-71.037864,42.374607,Fish & Seafood Markets,No,4,,1
Whole Foods Market,15 Westland Ave,Boston,MA,2115,613,-71.087246,42.3439,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Store 24,281 Huntington Ave # B,Boston,MA,2115,123,-71.086462,42.341988,Convenience Stores,Yes,2,,1
Cumberland Farms,801 Massachusetts Ave,Boston,MA,2118,275,-71.073002,42.333104,Convenience Stores,No,2,,1
Patriot News Inc,655 Atlantic Ave,Boston,MA,2111,277,-71.061176,42.35179,Convenience Stores,No,2,,1
Three D's,249 E St,South Boston,MA,2127,153,-71.051554,42.335803,Convenience Stores,No,2,,1
South End Gourmet Shop,74 Appleton St,Boston,MA,2116,4,-71.072507,42.345583,All Other Specialty Food Stores,No,1,,1
CVS/Pharmacy,703 Gallivan Blvd,Dorchester Ctr,MA,2124,474,-71.047599,42.283316,Pharmacies & Drug Stores,No,3,,1
Hajar Market,116 Blackstone St,Boston,MA,2109,451,-71.055237,42.359135,Meat Markets,No,6,,1
Chinatown Hit,27 Harrison Ave,Boston,MA,2111,15,-71.061463,42.351754,All Other Specialty Food Stores,No,1,,1
Store 24,281 Huntington Ave # B,Boston,MA,2115,36,-71.086462,42.341988,Convenience Stores,Yes,2,,1
7-Eleven,508 Park Dr,Boston,MA,2215,83,-71.105811,42.34764,Convenience Stores,Yes,2,,1
Skipjack's Seafood E,Clarendon & Saint James,Boston,MA,2116,368,-71.074581,42.350812,Fish & Seafood Markets,No,4,,1
LA Esquina Supermarket,184 Bremen St,Boston,MA,2128,810,-71.034307,42.373091,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
J Pace & Sons Inc,42 Cross St,Boston,MA,2113,741,-71.056787,42.363157,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Tobacco Treasurers,200 Seaport Blvd,Boston,MA,2210,323,-71.040336,42.351773,Convenience Stores,No,2,,1
Ruiz Market Boston,14 Breed St,Boston,MA,2128,208,-71.00681,42.387188,Convenience Stores,No,2,,1
Aguadilla Market,664 Tremont St # A,Boston,MA,2118,888,-71.075795,42.341362,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Villa Victoria Market,65 West Newton St,Boston,MA,2118,819,-71.074864,42.340327,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Lafauci & Sons Inc,46 Cross St # 50,Boston,MA,2113,426,-71.056477,42.363275,Fruit & Vegetable Markets,No,5,,1
Home Market Foods,18 Food Mart Rd,Boston,MA,2118,595,-71.062851,42.337343,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
CVS/Pharmacy,1150 Saratoga St,East Boston,MA,2128,473,-70.999137,42.384513,Pharmacies & Drug Stores,No,3,,1
Target,7 Allstate Rd,Dorchester,MA,2125,342,-71.063015,42.328387,Department Stores (Except Discount Dept Stores),No,7,,1
Youngs Trading Inc,1 Widett Cir,Roxbury,MA,2118,444,-71.062728,42.334448,Meat Markets,No,6,,1
C Mart Supermarket,109 Lincoln St,Boston,MA,2111,627,-71.058504,42.351628,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Your Convenient,62-74 Essex Street,Boston,MA,2111,190,-71.061176,42.35179,Convenience Stores,No,2,,1
Plum Produce,552 Tremont St,Boston,MA,2118,419,-71.071455,42.343758,Fruit & Vegetable Markets,No,5,,1
Smart Eat Foods Inc,899 Beacon St # 2,Boston,MA,2215,858,-71.105162,42.346206,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Good Seasons Trading Inc,911 Massachusetts Ave,Boston,MA,2118,410,-71.070309,42.330506,Fruit & Vegetable Markets,No,5,,1
Staemis Seafood,7 Channel St,Boston,MA,2210,347,-71.037095,42.345024,Fish & Seafood Markets,No,4,,1
Costa's Convenience Store,184 Bremen St,Boston,MA,2128,227,-71.034307,42.373091,Convenience Stores,No,2,,1
CVS/Pharmacy,197 8th St # 900,Charlestown,MA,2129,480,-71.052064,42.37354,Pharmacies & Drug Stores,No,3,,1
H-E-B Foods Co,415 Summer St,Boston,MA,2210,904,-71.044563,42.347115,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Happy Family Food Market,11 Hudson St # A,Boston,MA,2111,769,-71.060232,42.350857,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Viet Ho Mkt Co,15 Beach St,Boston,MA,2111,698,-71.062173,42.351417,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Alltown Roxbury,85 Southampton St,Boston,MA,2118,234,-71.070384,42.331916,Convenience Stores,No,2,,1
7-Eleven,1 1st Ave,Charlestown,MA,2129,72,-71.057819,42.372909,Convenience Stores,Yes,2,,1
A Dozen Eggs,553 Tremont St,Boston,MA,2116,29,-71.071665,42.343995,All Other Specialty Food Stores,No,1,,1
Cvs Pharmacy,7 Allstate Rd,Dorchester,MA,2125,463,-71.063293,42.329333,Pharmacies & Drug Stores,No,3,,1
7-Eleven,117 Jersey St # 121,Boston,MA,2215,102,-71.09701,42.342757,Convenience Stores,Yes,2,,1
Lankagems Inc,85 Newbury St,Boston,MA,2116,6,-71.074963,42.351918,All Other Specialty Food Stores,No,1,,1
City Fruit Co,231 Harrison Ave # A,Boston,MA,2111,413,-71.063016,42.347472,Fruit & Vegetable Markets,No,5,,1
Almany,1053 Tremont St,Roxbury,MA,2120,207,-71.085985,42.336505,Convenience Stores,No,2,,1
James Hook & Co,15 Northern Ave,Boston,MA,2210,387,-71.046009,42.352939,Fish & Seafood Markets,No,4,,1
C&D Produce,260 Maverick St,Boston,MA,2128,394,-71.033773,42.368066,Fruit & Vegetable Markets,No,5,,1
Boston Lobsters,65 N Harvard St,Boston,MA,2163,350,-71.1248,42.367265,Fish & Seafood Markets,No,4,,1
CVS Pharmacy,518 Commonwealth Ave,Boston,MA,2215,466,-71.095938,42.348505,Pharmacies & Drug Stores,No,3,,1
Hua Shing Inc,123 Newmarket Sq,Boston,MA,2118,408,-71.066883,42.33052,Fruit & Vegetable Markets,No,5,,1
J Trip Karaoke Lounge,189 State St,Boston,MA,2109,271,-71.05271,42.359144,Convenience Stores,No,2,,1
Us Specialty Food Agency,245 Sumner St,Boston,MA,2128,621,-71.038472,42.367941,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
Eternal Star Seafood Inc,649 Harrison Ave # 138,Boston,MA,2118,381,-71.069583,42.339458,Fish & Seafood Markets,No,4,,1
Hannaford Supermarket,39 Church St,Boston,MA,2116,594,-71.06802,42.349383,Supermarkets/Other Grocery (Exc Convenience) Strs,Yes,8,,1
Neptune Launderette,944 Bennington St,Boston,MA,2128,338,-71.009636,42.386146,Convenience Stores,No,2,,1
Hannaford Bros Co,20 Park Plz # 833,Boston,MA,2116,848,-71.069093,42.351412,Supermarkets/Other Grocery (Exc Convenience) Strs,No,8,,1
College Convenience,281 Huntington Ave,Boston,MA,2115,139,-71.086462,42.341988,Convenience Stores,No,2,,1
