Company Na,Address,City,State,ZIP Code,Longitude,Latitude,Type,Snap,Type_size,Underwater_36in,Underwater_7.5ft
7-Eleven,120 Byron St,Boston,MA,2128,-71.016262,42.383945,Convenience Stores,Yes,2,,
7-Eleven,103 State St,Boston,MA,2109,-71.055102,42.358962,Convenience Stores,Yes,2,,
7-Eleven,204 N Harvard St,Allston,MA,2134,-71.129789,42.362799,Convenience Stores,Yes,2,,
7-Eleven,70 E India Row,Boston,MA,2110,-71.050516,42.358582,Convenience Stores,Yes,2,,
7-Eleven,55 Berkeley St,Boston,MA,2116,-71.070267,42.346475,Convenience Stores,Yes,2,,
7-Eleven,532 Commonwealth Ave,Boston,MA,2215,-71.096348,42.348523,Convenience Stores,Yes,2,,
7-Eleven,3 Center Plz # 101a,Boston,MA,2108,-71.060123,42.359073,Convenience Stores,Yes,2,,
7-Eleven,261 Dartmouth St,Boston,MA,2116,-71.077631,42.350294,Convenience Stores,Yes,2,,
7-Eleven,252 W Newton St # 1,Boston,MA,2116,-71.081216,42.344733,Convenience Stores,Yes,2,,
7-Eleven,200 Seaport Blvd # 3,Boston,MA,2210,-71.040336,42.351773,Convenience Stores,Yes,2,,
7-Eleven,117 Jersey St # 121,Boston,MA,2215,-71.09701,42.342757,Convenience Stores,Yes,2,,
7-Eleven,10 Milk St,Boston,MA,2108,-71.057975,42.356883,Convenience Stores,Yes,2,,
7-Eleven,509 Cambridge St,Allston,MA,2134,-71.138482,42.353432,Convenience Stores,Yes,2,,
7-Eleven,462 Washington St,Brighton,MA,2135,-71.15896,42.348527,Convenience Stores,Yes,2,,
Rosedale Grocery,547 Washington St,Dorchester Ctr,MA,2124,-71.071986,42.292575,Convenience Stores,Yes,2,,
Mass Food Market,603 Massachusetts Ave,Boston,MA,2118,-71.078145,42.337117,Convenience Stores,Yes,2,,
Lynch's Everyday,626 Adams St,Dorchester,MA,2122,-71.055361,42.288368,Convenience Stores,Yes,2,,
Hermanos Unidos,728 Dudley St,Dorchester,MA,2125,-71.067192,42.317992,Convenience Stores,Yes,2,,
Blue Hill Market,766 Blue Hill Ave,Dorchester Ctr,MA,2124,-71.086693,42.298383,Convenience Stores,Yes,2,,
New Store On The Block,847 Dorchester Ave,Dorchester,MA,2125,-71.056861,42.321778,Convenience Stores,Yes,2,,
Hyde Park Market,853 River St,Hyde Park,MA,2136,-71.108344,42.262733,Convenience Stores,Yes,2,,
Store 24,717 Boylston St,Boston,MA,2116,-71.080095,42.349651,Convenience Stores,Yes,2,,
Store 24,281 Huntington Ave # B,Boston,MA,2115,-71.086462,42.341988,Convenience Stores,Yes,2,,
D & D Convenience Store,734 Blue Hill Ave,Dorchester,MA,2121,-71.086236,42.299755,Convenience Stores,Yes,2,,
D & D Convenience Store,1002 Dorchester Ave,Dorchester,MA,2125,-71.056634,42.316578,Convenience Stores,Yes,2,,
D & D Convenience Store,,Boston,MA,2108,-71.062564,42.357979,Convenience Stores,Yes,2,,
Gonzalez Market,1178 Blue Hill Ave,Mattapan,MA,2126,-71.09121,42.284027,Convenience Stores,Yes,2,,
One Stop Convenience,664 Tremont St # 1,Boston,MA,2118,-71.075795,42.341362,Convenience Stores,Yes,2,,
Quality Mart,21 Massachusetts Ave,Boston,MA,2115,-71.089476,42.350696,Convenience Stores,Yes,2,,
Quality Mart,150 North Beacon St,Brighton,MA,2135,-71.145767,42.355252,Convenience Stores,Yes,2,,
Store 24,717 Boylston St,Boston,MA,2116,-71.080095,42.349651,Convenience Stores,Yes,2,,
Store 24,281 Huntington Ave # B,Boston,MA,2115,-71.086462,42.341988,Convenience Stores,Yes,2,,
Liriano Grocery,1503 River St,Hyde Park,MA,2136,-71.131059,42.250454,Convenience Stores,Yes,2,,
Blue Hill Market,766 Blue Hill Ave,Dorchester Ctr,MA,2124,-71.086693,42.298383,Convenience Stores,Yes,2,,
Convenient Corner,1688 Dorchester Ave,Dorchester,MA,2122,-71.06234,42.292568,Convenience Stores,Yes,2,,
Mass Food Mart,1732 Dorchester Ave,Dorchester Ctr,MA,2124,-71.062727,42.291172,Convenience Stores,Yes,2,,
Ashmont Convenience Store,1996 Dorchester Ave,Dorchester Ctr,MA,2124,-71.064887,42.282899,Convenience Stores,Yes,2,,
Codman Square Mkt Grocery Str,573 Washington St,Dorchester Ctr,MA,2124,-71.071774,42.29162,Convenience Stores,No,2,,
