STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
SUPER STOP & SHOP 410,6,THATCHER RD,6 THATCHER RD,GLOUCESTER,MA,1930,ESSEX,SM,Yes
ROCHE BROS SUPERMARKET 106,6,MILLISTON WAY,6 MILLISTON WAY,MILLIS,MA,2054,NORFOLK,SS,Yes
CONVENIENCE MART,7,CHESTER ST,7 CHESTER ST,WEST SPRINGFIEL,MA,1089,HAMPDEN,CS,Yes
TARGET 1898,7,ALLSTATE RD,7 ALLSTATE RD,DORCHESTER,MA,2125,SUFFOLK,SS,Yes
SHAW'S SUPERMARKET #570 171,7,RAILROAD AVENUE,7 RAILROAD AVENUE,GLOUCESTER,MA,1930,ESSEX,SS,Yes
HANNAFORD  SUPERMARKET 21,7,MEDWAY ROAD,7 MEDWAY ROAD,MILFORD,MA,1757,WORCESTER,SS,Yes
AJ VARIETY,7,BOWDOIN ST,7 BOWDOIN ST,DORCHESTER,MA,2124,SUFFOLK,CS,Yes
STORE 24,8,WASHINGTON ST,8 WASHINGTON ST,CHELSEA,MA,2150,SUFFOLK,MG,Yes
T & T Market,8,Putnam St,8 Putnam St,Winthrop,MA,2152,SUFFOLK,CS,Yes
Old Towne Market,8,Post Office Sq,8 Post Office Sq,Lynnfield,MA,1940,ESSEX,MG,Yes
HANNAFORD SUPERMARKET 5,8,MERCHANT'S WAY,8 MERCHANT'S WAY,MIDDLEBORO,MA,2346,PLYMOUTH,SS,Yes
CVS PHARMACY 2138,8,PILGRIM HILL ROAD,8 PILGRIM HILL ROAD,PLYMOUTH,MA,2360,PLYMOUTH,CO,Yes
CVS PHARMACY 938,8,EAST WASHINGTON STREET,8 EAST WASHINGTON STREET,NORTH ATTLEBORO,MA,2760,BRISTOL,CO,Yes
SPEEDY MART,8,SALEM ST,8 SALEM ST,MEDFORD,MA,2155,MIDDLESEX,CS,Yes
ADAM'S MARKET,9,ATLANTIC AVE,9 ATLANTIC AVE,REVERE,MA,2151,SUFFOLK,SG,Yes
Broadway Mini Mart,9,Broadway,9 Broadway,Lawrence,MA,1840,ESSEX,CS,Yes
White Hen Pantry #1-8102-9 1-8102,9,Austin Sq,9 Austin Sq,Lynn,MA,1905,ESSEX,CS,Yes
SUN MARKET,9,UNION STREET,9 UNION STREET,ATTLEBORO,MA,2703,BRISTOL,CS,Yes
Shaws 7690,9,West Rd RT 6A,9 West Rd RT 6A,ORLEANS,MA,2653,BARNSTABLE,SS,Yes
CVS PHARMACY 1198,9,NELSON ST,9 NELSON ST,LEOMINSTER,MA,1453,WORCESTER,CO,Yes
