STORENAME,street_numb,STREET_ADD,address_combined,CITY,ST,ZIP,COUNTY,TYPE,SNAP
ALEXANDER'S CONVENIENT,277,MAIN STREET,277 MAIN STREET,MEDFORD,MA,2155,MIDDLESEX,MG,Yes
WHOLE FOOD MARKET 10011,278,WASHINGTON STREET,278 WASHINGTON STREET,WELLESLEY,MA,2481,NORFOLK,SS,Yes
STOP & SHOP 033,278,WASHINGTON    RT 138,278 WASHINGTON    RT 138,STOUGHTON,MA,2072,NORFOLK,SM,Yes
LUCKY KIMS CONVENIENCE STORE,279,CHELMSFORD ST,279 CHELMSFORD ST,LOWELL,MA,1851,MIDDLESEX,CS,Yes
NORTH FALMOUTH SUPERETTE,279,OLD MAIN STREET,279 OLD MAIN STREET,NORTH FALMOUTH,MA,2556,BARNSTABLE,MG,Yes
WALMART 1970,280,WASHINGTON ST,280 WASHINGTON ST,HUDSON,MA,1749,MIDDLESEX,SM,Yes
CAMILO MARKET,280,CENTRE ST,280 CENTRE ST,JAMAICA PLAIN,MA,2130,SUFFOLK,CS,Yes
PROVIDENCE STREET XTRA MART,280,PROVIDENCE ST,280 PROVIDENCE ST,WORCESTER,MA,1607,WORCESTER,CO,Yes
South Union Street Market,280,South Union St,280 South Union St,Lawrence,MA,1843,ESSEX,CS,Yes
STORE 24 93,280,MAIN STREET,280 MAIN STREET,EVERETT,MA,2149,MIDDLESEX,MG,Yes
College Convenience Store,281,Huntington Ave,281 Huntington Ave,Boston,MA,2115,SUFFOLK,SG,Yes
Bourne Sunoco,282,Main St,282 Main St,Buzzards Bay,MA,2532,BARNSTABLE,CS,Yes
PIANTEDOSI BUTCHER SHOP,282,COURT STREET,282 COURT STREET,PLYMOUTH,MA,2360,PLYMOUTH,MG,Yes
SPINELLI RAVIOLI MFG CO INC,282,BENNINGTON STREET,282 BENNINGTON STREET,EAST BOSTON,MA,2128,SUFFOLK,CO,Yes
CVS PHARMACY 657,283,PARK AVE.,283 PARK AVE.,WORCESTER,MA,1609,WORCESTER,CO,Yes
Asian Food Market,284,Southampton Rd,284 Southampton Rd,Westfield,MA,1085,HAMPDEN,SG,Yes
CVS PHARMACY 41,284,"WINTHROP ST,TAUNTON PLAZA","284 WINTHROP ST,TAUNTON PLAZA",TAUNTON,MA,2780,BRISTOL,CO,Yes
TUFTS VARIETY STORE INC,285,BOSTON AVE,285 BOSTON AVE,MEDFORD,MA,2155,MIDDLESEX,CS,Yes
GOMEZ GAS CONVENIENCE STORE,285,WASHINGTON ST,285 WASHINGTON ST,DORCHESTER,MA,2121,SUFFOLK,CO,Yes
MARKET BASKET 48,285,LINCOLN AVE.,285 LINCOLN AVE.,HAVERHILL,MA,1830,ESSEX,SS,Yes
Santiago Market,286,Pleasant St,286 Pleasant St,Worcester,MA,1609,WORCESTER,SM,Yes
RAJA MART 814,286,SOUTH HAMPTON ROAD,286 SOUTH HAMPTON ROAD,WESTFIELD,MA,1085,HAMPDEN,CS,Yes
Amarilis Market,288,Locust St,288 Locust St,Spingfield,MA,1108,HAMPDEN,CS,Yes
EDGEMERE MINI MART,288,MILL STREET,288 MILL STREET,WORCESTER,MA,1602,WORCESTER,CS,Yes
DEMOULAS MARKET #4 04,288,CHELMSFORD STREET,288 CHELMSFORD STREET,CHELMSFORD,MA,1824,MIDDLESEX,SS,Yes
AZ Mart,289,Carew St,289 Carew St,Springfield,MA,1104,HAMPDEN,CS,Yes
HONG & KONG MARKET INC,289,WESTFORD STREET,289 WESTFORD STREET,LOWELL,MA,1851,MIDDLESEX,MG,Yes
walgreens 02325,290,broadway,290 broadway,lynn,MA,1904,ESSEX,CO,Yes
Qwik Mart,290,Highland Ave,290 Highland Ave,Somerville,MA,2143,MIDDLESEX,CS,Yes
CUMMINS MARKET INC,290,CUMMINS HIGHWAY,290 CUMMINS HIGHWAY,ROSLINDALE,MA,2131,SUFFOLK,CS,Yes
HARRY'S SUPER MARKET INC,290,WAHCONAH STREET,290 WAHCONAH STREET,PITTSFIELD,MA,1201,BERKSHIRE,SM,Yes
STOP & SHOP 19,290,TURNPIKE ROAD  RT 9,290 TURNPIKE ROAD  RT 9,WESTBORO,MA,1581,WORCESTER,SM,Yes
"XAVIER'S MARKET, INC",290,NORTH FRONT STREET,290 NORTH FRONT STREET,NEW BEDFORD,MA,2746,BRISTOL,MG,Yes
D&T MARKET,291,SHIRLEY ST,291 SHIRLEY ST,WINTHROP,MA,2152,SUFFOLK,CS,Yes
SYMPHONY MARKET II,291,HUNTINGTON AVE,291 HUNTINGTON AVE,BOSTON,MA,2115,SUFFOLK,CS,Yes
CHABS DAILY MART,291,QUINCY AV,291 QUINCY AV,QUINCY,MA,2169,NORFOLK,CS,Yes
DKK VARIETY,293,CRESCENT ST.,293 CRESCENT ST.,WALTHAM,MA,2453,MIDDLESEX,CS,Yes
SHAW'S SUPERMARKET # 7493/359 749,293,HIGHLAND AVE,293 HIGHLAND AVE,SALEM,MA,1970,ESSEX,SS,Yes
ESTRELLA MARKET,294,PROSPECT ST,294 PROSPECT ST,LAWRENCE,MA,1841,ESSEX,CS,Yes
CVS PHARMACY 1212,294,HARVARD ST,294 HARVARD ST,BROOKLINE,MA,2446,NORFOLK,CO,Yes
ADAMS CONVENIENCE STORE,295,ADAMS ST,295 ADAMS ST,DORCHESTER,MA,2122,SUFFOLK,CS,Yes
ESPERANZA MARKET,295,WASHINGTON ST,295 WASHINGTON ST,HAVERHILL,MA,1830,ESSEX,SG,Yes
WALMART 2128,295,PLYMOUTH ST,295 PLYMOUTH ST,HALIFAX,MA,2338,PLYMOUTH,SM,Yes
MACORIS VARIETY,296,LAWRENCE ST,296 LAWRENCE ST,LAWRENCE,MA,1841,SUFFOLK,SG,Yes
VINNY FOOD MARKET,296,MALDEN ST,296 MALDEN ST,REVERE,MA,2151,SUFFOLK,CS,Yes
ONE STOP C MARKET,297,HIGHLAND AVE,297 HIGHLAND AVE,MALDEN,MA,2148,MIDDLESEX,CS,Yes
CUMBERLAND FARMS 6688,297,MAIN STREET,297 MAIN STREET,ATHOL,MA,1331,WORCESTER,CS,Yes
MINI MARKET,298,HANCOCK ST,298 HANCOCK ST,SPRINGFIELD,MA,1105,HAMPDEN,MG,Yes
EVELYN'S MARKET,298,CENTRE ST,298 CENTRE ST,JAMAICA PLAIN,MA,2130,SUFFOLK,SG,Yes
SAIGON MARKET,298,SOUTH UNION ST,298 SOUTH UNION ST,LAWRENCE,MA,1843,ESSEX,MG,Yes
Ayr Communications - Food Mart,299,Coggeshall St,299 Coggeshall St,New Bedford,MA,2740,BRISTOL,CS,Yes
La Renita Market,299,West 6th St,299 West 6th St,Lowell,MA,1850,MIDDLESEX,SG,Yes
BROOKS PHARMACY 569,299,BROADWAY,299 BROADWAY,SOMERVILLE,MA,2143,MIDDLESEX,CO,Yes
WALMART SUPERCENTER 2336,300,COLONY PLACE,300 COLONY PLACE,PLYMOUTH,MA,2360,PLYMOUTH,SM,Yes
Trader Joe's 516,300,Andover St,300 Andover St,Peabody,MA,1960,ESSEX,SM,Yes
VAN'S ASIAN MARKET,300,NO  MONTELLO ST,300 NO  MONTELLO ST,BROCKTON,MA,2301,PLYMOUTH,SG,Yes
EDDIE PLAZA SUPERMARKET,300,PLEASANT ST,300 PLEASANT ST,WORCESTER,MA,1609,WORCESTER,LG,Yes
STOP & SHOP 478,300,GROVE STREET,300 GROVE STREET,BRAINTREE,MA,2184,NORFOLK,SM,Yes
GOODIES CONVENIENCE STORE,300,SPRINGFIELD STREET,300 SPRINGFIELD STREET,AGAWAM,MA,1001,HAMPDEN,CS,Yes
PRICE CHOPPER 155,300,STOCKBRIDGE ROAD,300 STOCKBRIDGE ROAD,GRT BARRINGTON,MA,1230,BERKSHIRE,SM,Yes
BIG Y WORLD CLASS MARKET,300,COOLEY STREET,300 COOLEY STREET,SPRINGFIELD,MA,1128,HAMPDEN,SS,Yes
SUDBURY FARMS 207,300,NORTH MAIN STREET,300 NORTH MAIN STREET,RANDOLPH,MA,2368,NORFOLK,SS,Yes
DOLLAR TREE 2909,301,E MAIN ST,301 E MAIN ST,WESTFIELD,MA,1085,HAMPDEN,CO,Yes
COUNTRY FARMS,301,BOSTON RD,301 BOSTON RD,N BILLERICA,MA,1821,MIDDLESEX,CS,Yes
PriceRite of Westfield,301,East Main St,301 East Main St,Westfield,MA,1085,HAMPDEN,SS,Yes
HANNAFORD FOOD & DRUG #192 189,301,PLEASANT STREET,301 PLEASANT STREET,DRACUT,MA,1826,MIDDLESEX,SS,Yes
STOP & SHOP 75,301,CENTRE STREET,301 CENTRE STREET,JAMAICA PLAIN,MA,2130,SUFFOLK,SM,Yes
SUPER STOP & SHOP 93,301,NEWBURY STREET,301 NEWBURY STREET,DANVERS,MA,1923,ESSEX,SM,Yes
WALMART 2341,301,FALLS BLVD,301 FALLS BLVD,QUINCY,MA,2169,NORFOLK,SM,Yes
SHAW'S SUPERMARKET # 7419/123 741,301,POND ST,301 POND ST,ASHLAND,MA,1721,MIDDLESEX,SS,Yes
STORE 16,301,PARK AV,301 PARK AV,WORCESTER,MA,1609,WORCESTER,CS,Yes
WALMART 2118,301,MASSACHUSETTS AVE,301 MASSACHUSETTS AVE,LUNENBURG,MA,1462,WORCESTER,SM,Yes
Eduardos Market,302,Norfolk St,302 Norfolk St,Dorchester,MA,2124,SUFFOLK,SG,Yes
FREDDY'S MARKET INC.,302,CENTRE ST,302 CENTRE ST,JAMAICA PLAIN,MA,2130,SUFFOLK,MG,Yes
VINH THANH MARKET,302,MAIN STREET,302 MAIN STREET,MALDEN,MA,2148,MIDDLESEX,SG,Yes
CVS PHARMACY 2161,302,MAIN STREET,302 MAIN STREET,OXFORD,MA,1540,WORCESTER,CO,Yes
POCASSET COUNTRY MARKET,303,BARLOWS LANDING ROAD,303 BARLOWS LANDING ROAD,POCASSET,MA,2559,BARNSTABLE,LG,Yes
ACORES MARKET,303,WILLIAM ST,303 WILLIAM ST,FALL RIVER,MA,2721,BRISTOL,MG,Yes
Trufel Food Market,304,Jackson St,304 Jackson St,Lawrence,MA,1841,ESSEX,SG,Yes
LI'L PEACH 459,304,BELMONT STREET,304 BELMONT STREET,BROCKTON,MA,2301,PLYMOUTH,CS,Yes
"ALHODA MARKET INC.,",304,PROSPECT STREET,304 PROSPECT STREET,CAMBRIDGE,MA,2139,MIDDLESEX,SG,Yes
WHITE HEN PANTRY #1-0303-1,304,LINCOLN AV,304 LINCOLN AV,SAUGUS,MA,1906,ESSEX,CS,Yes
KIMS MARKET,305,W BROADWAY,305 W BROADWAY,S BOSTON,MA,2127,SUFFOLK,CS,Yes
"CHRISTY'S #605, CAPE COD 605",305,MAIN STREET,305 MAIN STREET,DENNISPORT,MA,2639,BARNSTABLE,CS,Yes
NUNEZ MARKET,305,DUDLEY ST,305 DUDLEY ST,ROXBURY,MA,2119,SUFFOLK,SG,Yes
SMART STOP CONVENIENCE STORE,306,WINTHROP ST,306 WINTHROP ST,TAUNTON,MA,2780,BRISTOL,CS,Yes
AL'S VARIETY STORE,306,FOURTH ST,306 FOURTH ST,FALL RIVER,MA,2721,BRISTOL,SG,Yes
ZENNER'S PACKAGE & VARIETY INC,307,TYLER STREET,307 TYLER STREET,PITTSFIELD,MA,1201,BERKSHIRE,CS,Yes
ARNOL'S MEATS,307,GRATTAN ST,307 GRATTAN ST,CHICOPEE,MA,1020,HAMPDEN,CO,Yes
DOLLAR TREE 1744,308,MASSACHUSETTS AVE,308 MASSACHUSETTS AVE,LUNENBURG,MA,1462,WORCESTER,CO,Yes
SAIGON MARKET,308,BELMONT AVENUE,308 BELMONT AVENUE,SPRINGFIELD,MA,1108,HAMPDEN,MG,Yes
ROTARY VARIETY,309,OLD COLONY AVE,309 OLD COLONY AVE,S BOSTON,MA,2127,SUFFOLK,CS,Yes
EXPO'S II,309,DARTMOUTH STREET,309 DARTMOUTH STREET,NEW BEDFORD,MA,2740,BRISTOL,CS,Yes
PUEBL0 SUPERMARKET,309,PARK ST,309 PARK ST,LAWRENCE,MA,1841,ESSEX,LG,Yes
Chelmsford Street Quick Mart Inc,309,Chelmsford St,309 Chelmsford St,Lowell,MA,1851,MIDDLESEX,CS,Yes
WALGREENS 09614,310,MAIN ST,310 MAIN ST,HAVERHILL,MA,1830,ESSEX,CO,Yes
DAN HA MARKET,310,BROADWAY,310 BROADWAY,CHELSEA,MA,2150,SUFFOLK,CS,Yes
MARKET BASKET 20,310,MISHAWUM ROAD,310 MISHAWUM ROAD,WOBURN,MA,1801,MIDDLESEX,SS,Yes
Javier Market,311,East Haverhill St,311 East Haverhill St,Lawrence,MA,1841,ESSEX,CS,Yes
ONE STOP MARKET,311,CABOT STREET,311 CABOT STREET,BEVERLY,MA,1915,ESSEX,MG,Yes
Cee Cees Variety Store,314,Bay St,314 Bay St,Springfield,MA,1109,HAMPDEN,CS,Yes
CVS PHARMACY 2098,314,MAIN ST,314 MAIN ST,GARDNER,MA,1440,WORCESTER,CO,Yes
Park Ave Variety,315,Park Ave,315 Park Ave,Revere,MA,2151,SUFFOLK,CS,Yes
MAIN STREET MARKET,315,MAIN ST,315 MAIN ST,MILFORD,MA,1757,WORCESTER,CS,Yes
S & K FOOD MART,316,BOWDOIN ST,316 BOWDOIN ST,DORCHESTER,MA,2122,SUFFOLK,SG,Yes
CVS PHARMACY 1006,316,NORTH PEARL STREET,316 NORTH PEARL STREET,BROCKTON,MA,2301,PLYMOUTH,CO,Yes
CHRISTY'S OF CAPE COD 610,317,FALMOUTH ROAD,317 FALMOUTH ROAD,HYANNIS,MA,2601,BARNSTABLE,CS,Yes
WESTERN AVENUE MARKET,317,WESTERN AVENUE,317 WESTERN AVENUE,CAMBRIDGE,MA,2139,SUFFOLK,SG,Yes
Star Market Coffee Shop,317,Bank St,317 Bank St,Fall River,MA,2720,BRISTOL,SG,Yes
Cathys Market,317,Meridian St,317 Meridian St,East Boston,MA,2128,SUFFOLK,SG,Yes
WALGREENS 03496,317,FERRY STREET,317 FERRY STREET,EVERETT,MA,2149,MIDDLESEX,CO,Yes
CUMBERLAND FARMS 6694,317,FEDERAL STREET,317 FEDERAL STREET,GREENFIELD,MA,1301,FRANKLIN,CS,Yes
WHOLE FOODS MARKET 10093,317,BOSTON POST ROAD,317 BOSTON POST ROAD,WAYLAND,MA,1778,MIDDLESEX,SS,Yes
LA INTERNATIONAL FOODS CORP,318,SOMERVILLE AVENUE,318 SOMERVILLE AVENUE,SOMERVILLE,MA,2143,MIDDLESEX,MG,Yes
Amherst Grocery Store,319,Main St,319 Main St,Amherst,MA,1002,HAMPSHIRE,CS,Yes
WALGREENS 03151,320,PARK AVENUE,320 PARK AVENUE,WORCESTER,MA,1610,WORCESTER,CO,Yes
LI'L PEACH 407,320,NEPONSET AV,320 NEPONSET AV,DORCHESTER,MA,2122,SUFFOLK,CS,Yes
Store 24 355,321,Broadway,321 Broadway,Cambridge,MA,2139,MIDDLESEX,CS,Yes
CVS PHARMACY 2454,321,QUINCY SHORE DRIVE,321 QUINCY SHORE DRIVE,QUINCY,MA,2171,NORFOLK,CO,Yes
STEVENS MARKET,321,CYPRESS ST,321 CYPRESS ST,BROOKLINE,MA,2445,NORFOLK,SG,Yes
ALEX MARKET,322,TALBOT AVE,322 TALBOT AVE,DORCHESTER,MA,2124,SUFFOLK,CS,Yes
BROOKS PHARMACY 881,323,WILLIAM S CANNING BLVD,323 WILLIAM S CANNING BLVD,FALL RIVER,MA,2721,BRISTOL,CO,Yes
SINBADS,323,PLEASANT ST,323 PLEASANT ST,WORCESTER,MA,1609,WORCESTER,CS,Yes
David Market,324,Prospect St,324 Prospect St,Lawrence,MA,1841,ESSEX,SG,Yes
WALGREENS 01864,324,MASSACHUSETTS AVE,324 MASSACHUSETTS AVE,ARLINGTON,MA,2474,MIDDLESEX,CO,Yes
FAMILY FOOD MART,324,REVERE BEACH PKWY,324 REVERE BEACH PKWY,CHELSEA,MA,2150,SUFFOLK,CS,Yes
7-ELEVEN 30260-G,324,COURT ST,324 COURT ST,PLYMOUTH,MA,2360,PLYMOUTH,CS,Yes
STOP & BUY,324,WILBRAHAM RD,324 WILBRAHAM RD,SPRINGFIELD,MA,1109,HAMPDEN,SG,Yes
WHOLE FOODS MARKET 10012,327,RUSSEL  ST,327 RUSSEL  ST,HADLEY,MA,1035,HAMPSHIRE,SS,Yes
BONAO GROCERY STORE,328,UNION STREET,328 UNION STREET,LYNN,MA,1901,ESSEX,MG,Yes
St James Mini Market,328,St. James Avenue,328 St. James Avenue,Springfield,MA,1109,HAMPDEN,SG,Yes
WALGREENS 10802,328,RHODE ISLAND AVE,328 RHODE ISLAND AVE,FALLS RIVER,MA,2721,BRISTOL,CO,Yes
Costas Cash Express,330,Hathaway Blvd,330 Hathaway Blvd,New Bedford,MA,2740,BRISTOL,CS,Yes
River Valley Market,330,North King St,330 North King St,Northampton,MA,1060,HAMPSHIRE,SM,Yes
BROOKS PHARMACY 584,330,RIVER ST,330 RIVER ST,CAMBRIDGE,MA,2139,MIDDLESEX,CO,Yes
WHOLE FOODS MARKET 10222,331,PARADISE ROAD,331 PARADISE ROAD,SWAMPSCOTT,MA,1907,ESSEX,SS,Yes
Melos Grocery,331,Centre St,331 Centre St,Jamaica Plain,MA,2130,SUFFOLK,CS,Yes
DEMOULAS SUPERMKT 01,331,FLETCHER STREET,331 FLETCHER STREET,LOWELL,MA,1854,MIDDLESEX,SS,Yes
NORMAND'S MEAT SPECIALTIES INC,331,ASHLEY BLVD,331 ASHLEY BLVD,NEW BEDFORD,MA,2746,BRISTOL,SM,Yes
EXPO'S,332,BROCK AVE,332 BROCK AVE,NEW BEDFORD,MA,2744,BRISTOL,SG,Yes
Los Hermanos Market,333,Lawrence St,333 Lawrence St,Lawrence,MA,1841,ESSEX,MG,Yes
HANNAFORD FOOD & DRUG 388,333,MASSACHUSETTS AVE,333 MASSACHUSETTS AVE,LUNENBURG,MA,1462,WORCESTER,SS,Yes
STOP & SHOP 473,333,MARIANNO F  BISHOP BLVD,333 MARIANNO F  BISHOP BLVD,FALL RIVER,MA,2720,BRISTOL,SM,Yes
SAVE-A-LOT,333,MARTIN LUTHER KING JR BLV,333 MARTIN LUTHER KING JR BLV,ROXBURY,MA,2119,SUFFOLK,SS,Yes
REBELLOS MEAT MARKET,333,RIVET STREET,333 RIVET STREET,NEW BEDFORD,MA,2740,BRISTOL,SG,Yes
ROSEBUD FARMS,333,COMMERCIAL STREET,333 COMMERCIAL STREET,MALDEN,MA,2148,MIDDLESEX,CO,Yes
HANNAFORD SUPERMARKET 13,333,BROOK ST,333 BROOK ST,CLINTON,MA,1510,WORCESTER,SS,Yes
WALMART 2222,333,MAIN ST,333 MAIN ST,TEWKSBURY,MA,1876,MIDDLESEX,SM,Yes
Family Market,334,E 8th St,334 E 8th St,S Boston,MA,2127,SUFFOLK,CS,Yes
JACQUELINE GROCERY STORE,334,LOWELL ST,334 LOWELL ST,LAWRENCE,MA,1841,ESSEX,SG,Yes
Express Food Mart,335,Union St,335 Union St,Randolph,MA,2368,NORFOLK,CS,Yes
FALMOUTH FOOD  MART,336,EAST FALMOUTH HWY,336 EAST FALMOUTH HWY,EAST FALMOUTH,MA,2536,BARNSTABLE,MG,Yes
FERRO'S FOODTOWN INC,336,RINDGE AVE,336 RINDGE AVE,CAMBRIDGE,MA,2140,MIDDLESEX,CS,Yes
M & M Market,337,Globe St,337 Globe St,Fall River,MA,2724,BRISTOL,CS,Yes
WALGREENS 02760,337,BROADWAY,337 BROADWAY,SOMERVILLE,MA,2145,MIDDLESEX,CO,Yes
STOP & SHOP 07,337,CHAUNCY STREET,337 CHAUNCY STREET,MANSFIELD,MA,2048,BRISTOL,SM,Yes
EL CONDOR MARKET,337,PARIS STREET,337 PARIS STREET,E BOSTON,MA,2128,SUFFOLK,SG,Yes
BOSTON STREET VARIETY,337,BOSTON STREET,337 BOSTON STREET,LYNN,MA,1905,ESSEX,CS,Yes
STOP & SHOP #88,337,GREAT ROAD,337 GREAT ROAD,BEDFORD,MA,1730,MIDDLESEX,SM,Yes
R & M VARIETY,337,PLEASANT ST,337 PLEASANT ST,GARDNER,MA,1440,WORCESTER,CS,Yes
WALMART 2683,337,RUSSELL ST,337 RUSSELL ST,HADLEY,MA,1035,HAMPSHIRE,SM,Yes
Quick Stop,338,Warren St,338 Warren St,Roxbury,MA,2119,SUFFOLK,CS,Yes
ROCHE BROS SUPERMARKET 104,338,WASHINGTON STREET,338 WASHINGTON STREET,WESTWOOD,MA,2090,NORFOLK,SS,Yes
NATIONAL WHOLESALE LIQUIDATORS,339,SQUIRE RD,339 SQUIRE RD,REVERE,MA,2151,SUFFOLK,CO,Yes
DELI GROCERY,340,OAK GROVE AVE,340 OAK GROVE AVE,FALL RIVER,MA,2723,BRISTOL,SG,Yes
7 ELEVEN 32472C,340,MILIKEN BLVD,340 MILIKEN BLVD,FALL RIVER,MA,2721,BRISTOL,CS,Yes
Cantinho Da Gente,340,North St,340 North St,Pittsfield,MA,1201,BERKSHIRE,CS,Yes
PRIDE CONVENIENCE INC 1,340,CENTER STREET,340 CENTER STREET,LUDLOW,MA,1056,HAMPDEN,MG,Yes
PIMENTAL MARKET,340,CENTRE STREET,340 CENTRE STREET,JAMAICA PLAIN,MA,2130,SUFFOLK,MG,Yes
WHOLE FOODS MARKET 10113,340,RIVER STREET,340 RIVER STREET,CAMBRIDGE,MA,2139,MIDDLESEX,SS,Yes
CVS PHARMACY #49 0049,340,WASHINGTON ST,340 WASHINGTON ST,BOSTON,MA,2108,SUFFOLK,CO,Yes
EXPRESS CHECKOUT,340,WASHINGTON ST,340 WASHINGTON ST,LYNN,MA,1902,ESSEX,CS,Yes
Leos Grocery,341,Blue Hill Ave,341 Blue Hill Ave,Dorchester,MA,2121,SUFFOLK,CS,Yes
Las Chicas Market,341,Appleton St,341 Appleton St,Holyoke,MA,1040,HAMPDEN,SG,Yes
HONEY FARM 79,341,GROVE STREET,341 GROVE STREET,WORCESTER,MA,1606,WORCESTER,MG,Yes
SUPER STOP & SHOP 082,341,PLYMOUTH ST,341 PLYMOUTH ST,HALIFAX,MA,2338,PLYMOUTH,SM,Yes
Tropical Food Market and Deli,343,Wilbraham Rd,343 Wilbraham Rd,Springfield,MA,1109,HAMPDEN,SG,Yes
Spring Valley Food Mart,343,Allen St,343 Allen St,Springfield,MA,1108,HAMPDEN,CS,Yes
ANGEL GROCERY,344,ORANGE ST,344 ORANGE ST,SPRINGFIELD,MA,1108,HAMPDEN,SG,Yes
CHANDLER INTERNATIONAL MARKET,344,CHANDLER ST,344 CHANDLER ST,WORCESTER,MA,1602,WORCESTER,MG,Yes
IRT TROPICS INC,344,N MAIN ST,344 N MAIN ST,RANDOLPH,MA,2368,NORFOLK,CS,Yes
Feeding Hills Variety,344,N Westfield St,344 N Westfield St,Feeding Hills,MA,1030,HAMPDEN,CS,Yes
DOLLAR TREE 2522,344,GREENWOOD ST,344 GREENWOOD ST,WORCESTER,MA,1607,WORCESTER,CO,Yes
BAHNAN'S BAKERY/MKTPLACE,344,PLEASANT STREET,344 PLEASANT STREET,WORCESTER,MA,1609,WORCESTER,SG,Yes
CVS PHARMACY #654 0654,344,GREAT RD,344 GREAT RD,ACTON,MA,1720,MIDDLESEX,CO,Yes
SPRING FOOD MART,345,MAIN ST,345 MAIN ST,INDIAN ORCHARD,MA,1151,HAMPDEN,CS,Yes
EZ MART,345,CHICOPEE ST,345 CHICOPEE ST,CHICOPEE,MA,1013,HAMPDEN,CS,Yes
SUMNER MARKET INC,345,SUMNER STREET,345 SUMNER STREET,EAST BOSTON,MA,2128,SUFFOLK,CS,Yes
SUNNY HILL FARM,345,ROBESON ST,345 ROBESON ST,FALL RIVER,MA,2720,BRISTOL,CS,Yes
ONE STOP CONVENIENCE,345,REVERE ST,345 REVERE ST,REVERE,MA,2151,SUFFOLK,MG,Yes
FOUR CORNER MARKET,345,WASHINGTON ST,345 WASHINGTON ST,DORCHESTER,MA,2121,SUFFOLK,CS,Yes
NATHALYS MARKET,346,BAY ST,346 BAY ST,SPRINGFIELD,MA,1109,HAMPDEN,SG,Yes
BROOKS PHARMACY 282,348,GREENWOOD ST,348 GREENWOOD ST,WORCESTER,MA,1607,WORCESTER,CO,Yes
MAMITA'S MARKET,349,MAIN ST,349 MAIN ST,HOLYOKE,MA,1040,HAMPDEN,SG,Yes
TONYS CONVENIENCE,349,WESTFORD ST,349 WESTFORD ST,LOWELL,MA,1851,MIDDLESEX,CS,Yes
Family Foods,350,E Falmouth Hwy,350 E Falmouth Hwy,E Falmouth,MA,2536,BARNSTABLE,LG,Yes
KMART 3879,350,GROSSMAN DR,350 GROSSMAN DR,BRAINTREE,MA,2184,NORFOLK,SM,Yes
DEMOULAS SUPERMKT 12,350,WINTHROP ST,350 WINTHROP ST,N ANDOVER,MA,1845,ESSEX,SS,Yes
CVS PHARMACY 524,350,LONGWOOD AVE,350 LONGWOOD AVE,BOSTON,MA,2215,SUFFOLK,CO,Yes
Benedettis Deli,350,WASHINGTON,350 WASHINGTON,HAVERHILL,MA,1832,ESSEX,MG,Yes
BROOKS PHARMACY 583,350,CAMBRIDGE ST,350 CAMBRIDGE ST,WOBURN,MA,1801,MIDDLESEX,CO,Yes
CVS PHARMACY 635,351,BEDFORD STREET,351 BEDFORD STREET,WHITMAN,MA,2382,PLYMOUTH,CO,Yes
NEW ASIA MARKET,351,MARKET STREET,351 MARKET STREET,LOWELL,MA,1852,MIDDLESEX,MG,Yes
FAMILY MARKET,351,HAMILTON ST,351 HAMILTON ST,SOUTHBRIDGE,MA,1550,WORCESTER,SG,Yes
Stop #1 Supermarket,352,Hampshire St,352 Hampshire St,Lawrence,MA,1841,ESSEX,MG,Yes
SHOP N GO,352,WASHINGTON AVENUE,352 WASHINGTON AVENUE,CHELSEA,MA,2150,SUFFOLK,CS,Yes
WALMART SUPERCENTER 2386,352,PALMER ROAD,352 PALMER ROAD,WARE,MA,1082,HAMPSHIRE,SM,Yes
RILEYS CORNER,352,WASHINGTON ST,352 WASHINGTON ST,HAVERHILL,MA,1832,ESSEX,CS,Yes
EL SOL FOOD MARKET,353,CHELSEA ST,353 CHELSEA ST,EAST BOSTON,MA,2128,SUFFOLK,SG,Yes
D & H VARIETY,353,CHATHAM ST,353 CHATHAM ST,LYNN,MA,1902,ESSEX,SG,Yes
HONEY FARM 70,353,GRAFTON STREET,353 GRAFTON STREET,WORCESTER,MA,1604,WORCESTER,MG,Yes
CVS PHARMACY 705,354,"W BOYLSTON ST,MEADWOBROOK","354 W BOYLSTON ST,MEADWOBROOK",WEST BOYLSTON,MA,1583,WORCESTER,CO,Yes
OAK STREET CONVENIENCE,354,OAK ST,354 OAK ST,BROCKTON,MA,2301,PLYMOUTH,CS,Yes
BAILEYS TOO,354,WEST BROADWAY,354 WEST BROADWAY,SOUTH BOSTON,MA,2127,SUFFOLK,CS,Yes
FERNANDOS SUPERMARKET,354,BROADWAY,354 BROADWAY,LAWRENCE,MA,1841,ESSEX,MG,Yes
D & F FOOD SERVICE,355,BELMONT AVE,355 BELMONT AVE,SPRINGFIELD,MA,1108,HAMPDEN,SS,Yes
CVS Pharmacy 861,355,Centre Street,355 Centre Street,Brockton,MA,2302,PLYMOUTH,CO,Yes
HELENE'S VARIETY INC,355,DALE STREET,355 DALE STREET,CHICOPEE,MA,1013,HAMPDEN,CS,Yes
Meridian Corner Mart,357,Meridian St,357 Meridian St,E Boston,MA,2128,SUFFOLK,SG,Yes
STORE 24 89,357,TREMONT ST,357 TREMONT ST,BOSTON,MA,2116,SUFFOLK,CS,Yes
Quick Food,358,Southwick Rd,358 Southwick Rd,Westfield,MA,1085,HAMPDEN,CS,Yes
